SSID,BSSID,Channel,Signal,Security,Frequency
(hidden),66:50:4b:fc:51:eb,44,80%,WPA3-Personal,5 GHz
KBTU,fc:ec:da:a7:0a:89,11,26%,WPA2-Enterprise,2.4 GHz
Zentec Z031 80646F3563BCd31,80:64:6f:35:79:79,10,18%,WPA2-Personal,2.4 GHz
iPhone,76:43:86:df:a8:06,1,99%,WPA3-Personal,2.4 GHz
Ars,da:f6:2c:05:fb:ef,104,57%,WPA2-Personal,5 GHz
Zentec Z031 C049EF4E7B04d31,c0:49:ef:4e:7c:e5,10,60%,WPA2-Personal,2.4 GHz
Galaxy S21 FE 5G 7E8E,4a:de:22:85:fa:6a,11,38%,WPA2-Personal,2.4 GHz
Zentec Z031 409151D61B84d31,40:91:51:d6:c7:fd,10,46%,WPA2-Personal,2.4 GHz
iPhone Yermakhan Kasymzhomart,aa:99:42:b9:05:3f,6,83%,WPA2-Personal,2.4 GHz
ABC,d2:7a:95:7e:d0:04,6,40%,WPA2-Personal,2.4 GHz
Zentec Z031 80646F3DE624d31,80:64:6f:3d:fc:e1,10,31%,WPA2-Personal,2.4 GHz
Zentec Z031 C049EF58FCB4d31,c0:49:ef:58:fb:55,10,62%,WPA2-Personal,2.4 GHz
Zentec Z031 64B708139F99d31,64:b7:08:13:d9:b1,10,81%,WPA2-Personal,2.4 GHz
WPA2-Personal,1a:d6:f9:9f:40:31,1,70%,WPA2-Personal,2.4 GHz
Karuka,22:81:61:b4:00:32,1,67%,WPA2-Personal,2.4 GHz
(1),a2:f1:33:d4:ee:9b,1,81%,WPA2-Personal,2.4 GHz
